epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,638.704,0.33144,1.51801,0.94308,0.77058,0.60811,0.64254,0.60748,0.33362,1.09089,0.90588,0.000330532,0.000330532,0.0672773
2,1235.22,0.31128,1.0873,0.91994,0.66951,0.61874,0.66174,0.63527,0.28317,2.23165,0.87547,0.000657293,0.000657293,0.0342707
3,1864.65,0.30196,1.02519,0.91443,0.45549,0.6202,0.59179,0.57119,0.27859,1.11929,0.87404,0.000977454,0.000977454,0.00125757
4,2467.31,0.3019,0.98432,0.92347,0.55528,0.78065,0.67829,0.67043,0.22184,0.72744,0.83799,0.0009703,0.0009703,0.0009703
5,3108.81,0.28378,0.93743,0.90763,0.52777,0.82003,0.70248,0.69615,0.20977,0.67589,0.83249,0.0009604,0.0009604,0.0009604
6,3790.06,0.2605,0.89345,0.90267,0.78117,0.62122,0.71258,0.7025,0.22434,0.73558,0.84495,0.0009505,0.0009505,0.0009505
7,4537.64,0.25426,0.87604,0.89609,0.52265,0.67379,0.66892,0.66462,0.1863,0.76665,0.8084,0.0009406,0.0009406,0.0009406
