epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18309.2,0.14416,0.63449,0.85996,0.69112,0.79713,0.76667,0.76516,0.11101,0.48468,0.77009,0.000742625,0.000742625,0.000742625
43,18702.7,0.14722,0.63495,0.86057,0.71713,0.84978,0.78803,0.78485,0.11799,0.46303,0.77583,0.00073025,0.00073025,0.00073025
44,19095.4,0.14911,0.60382,0.85979,0.6961,0.84241,0.80232,0.80142,0.10694,0.43079,0.76705,0.000717875,0.000717875,0.000717875
45,19489.1,0.14471,0.60566,0.85737,0.70437,0.83125,0.78896,0.78871,0.10943,0.43217,0.76964,0.0007055,0.0007055,0.0007055
46,19881.4,0.13841,0.59984,0.85697,0.71324,0.83283,0.78973,0.78887,0.09829,0.46162,0.76474,0.000693125,0.000693125,0.000693125
47,20274.4,0.13777,0.59791,0.85675,0.72163,0.81898,0.81078,0.81008,0.11539,0.44662,0.77179,0.00068075,0.00068075,0.00068075
48,20667.8,0.13597,0.60609,0.85756,0.69507,0.86912,0.80745,0.80709,0.0986,0.43295,0.76665,0.000668375,0.000668375,0.000668375
49,21061.2,0.13571,0.60186,0.85102,0.66998,0.87877,0.79347,0.79319,0.11144,0.4841,0.76968,0.000656,0.000656,0.000656
50,21455.2,0.13905,0.60387,0.85617,0.67753,0.82392,0.77733,0.77695,0.10503,0.41434,0.76748,0.000643625,0.000643625,0.000643625
51,21850.1,0.1353,0.5797,0.85713,0.81192,0.70637,0.80919,0.80875,0.10069,0.44618,0.76601,0.00063125,0.00063125,0.00063125
52,22241.6,0.1326,0.58265,0.85366,0.77237,0.76726,0.79056,0.78921,0.10186,0.41734,0.76588,0.000618875,0.000618875,0.000618875
53,22633.6,0.13268,0.59326,0.85728,0.71386,0.81719,0.78028,0.77991,0.10043,0.47836,0.76467,0.0006065,0.0006065,0.0006065
54,23026.8,0.12749,0.56914,0.85399,0.66132,0.83475,0.78102,0.78032,0.0931,0.52819,0.76446,0.000594125,0.000594125,0.000594125
55,23419.8,0.12885,0.5892,0.85429,0.70587,0.81912,0.78058,0.78042,0.10145,0.43419,0.76685,0.00058175,0.00058175,0.00058175
56,23813.6,0.1271,0.57475,0.857,0.78906,0.79999,0.82462,0.82333,0.09025,0.39918,0.76299,0.000569375,0.000569375,0.000569375
57,24207.3,0.12938,0.57322,0.85569,0.67812,0.82022,0.77382,0.76164,0.10296,0.44159,0.76806,0.000557,0.000557,0.000557
58,24600.9,0.13189,0.56661,0.85664,0.7715,0.79417,0.82187,0.82001,0.09354,0.41104,0.76451,0.000544625,0.000544625,0.000544625
59,24994.7,0.12531,0.55535,0.85571,0.73767,0.85652,0.82134,0.81953,0.09498,0.4181,0.76665,0.00053225,0.00053225,0.00053225
60,25391.3,0.12521,0.56603,0.85165,0.79663,0.74297,0.8084,0.80715,0.09354,0.43666,0.76401,0.000519875,0.000519875,0.000519875
61,25784,0.11879,0.55501,0.8556,0.72428,0.7954,0.81059,0.809,0.08835,0.39952,0.76378,0.0005075,0.0005075,0.0005075
62,26177.2,0.12332,0.53359,0.852,0.71743,0.84635,0.81119,0.81044,0.09226,0.39331,0.76483,0.000495125,0.000495125,0.000495125
63,26571.7,0.12475,0.56391,0.85544,0.75093,0.81088,0.81227,0.81043,0.0938,0.41252,0.76383,0.00048275,0.00048275,0.00048275
64,26964.9,0.12253,0.56044,0.85099,0.77931,0.78546,0.82797,0.82598,0.10341,0.40647,0.76915,0.000470375,0.000470375,0.000470375
65,27358.9,0.1211,0.54254,0.85841,0.79324,0.76677,0.81982,0.81833,0.08797,0.39601,0.76085,0.000458,0.000458,0.000458
66,27751.9,0.1194,0.55705,0.85058,0.77825,0.7412,0.79945,0.79797,0.09199,0.46452,0.76322,0.000445625,0.000445625,0.000445625
67,28145.7,0.12162,0.53954,0.85253,0.71039,0.82079,0.80335,0.80272,0.09212,0.40323,0.76356,0.00043325,0.00043325,0.00043325
68,28538.6,0.11636,0.53986,0.85093,0.7537,0.78756,0.81031,0.81003,0.08919,0.39996,0.7616,0.000420875,0.000420875,0.000420875
69,28932.9,0.11418,0.54393,0.8513,0.74046,0.82231,0.80759,0.80556,0.09039,0.43604,0.76356,0.0004085,0.0004085,0.0004085
70,29325.6,0.12091,0.55461,0.85285,0.6884,0.83001,0.78854,0.78732,0.09357,0.41916,0.76447,0.000396125,0.000396125,0.000396125
71,29718.5,0.11492,0.53349,0.85313,0.7688,0.81042,0.81391,0.81306,0.08788,0.42739,0.76326,0.00038375,0.00038375,0.00038375
72,30113.6,0.11518,0.5273,0.84425,0.75407,0.82064,0.81296,0.81186,0.0824,0.37984,0.76101,0.000371375,0.000371375,0.000371375
73,30507.9,0.11371,0.52791,0.85165,0.80197,0.75316,0.79506,0.79319,0.08254,0.42145,0.76099,0.000359,0.000359,0.000359
74,30901.3,0.11334,0.52585,0.85145,0.71786,0.85485,0.81542,0.81394,0.08394,0.40237,0.76129,0.000346625,0.000346625,0.000346625
75,31294.5,0.11046,0.52464,0.85392,0.78858,0.76222,0.79313,0.79174,0.08127,0.39736,0.76217,0.00033425,0.00033425,0.00033425
76,31687.7,0.10879,0.51892,0.85087,0.68288,0.86463,0.80692,0.80569,0.08212,0.39454,0.76154,0.000321875,0.000321875,0.000321875
77,32087.8,0.1087,0.51701,0.85251,0.77776,0.80753,0.81711,0.81577,0.08528,0.3992,0.76191,0.0003095,0.0003095,0.0003095
78,32482.9,0.10981,0.49437,0.84957,0.74053,0.83227,0.80178,0.80023,0.07872,0.40017,0.76016,0.000297125,0.000297125,0.000297125
79,32876,0.10581,0.49929,0.85314,0.74904,0.82543,0.81339,0.81235,0.07891,0.38831,0.76004,0.00028475,0.00028475,0.00028475
80,33269.1,0.10584,0.49609,0.84835,0.7392,0.80355,0.78768,0.78764,0.07799,0.41592,0.75967,0.000272375,0.000272375,0.000272375
81,33664.1,0.10468,0.50195,0.84987,0.72223,0.83596,0.81594,0.81538,0.0802,0.40699,0.7598,0.00026,0.00026,0.00026
82,34057.8,0.10385,0.48561,0.85267,0.76411,0.81042,0.80545,0.8049,0.07678,0.4086,0.75938,0.000247625,0.000247625,0.000247625
83,34452.1,0.10291,0.49908,0.84694,0.74712,0.76702,0.80223,0.80085,0.07861,0.40893,0.76094,0.00023525,0.00023525,0.00023525
84,34846.2,0.1022,0.48233,0.85066,0.77273,0.8146,0.79884,0.79853,0.07628,0.40208,0.75949,0.000222875,0.000222875,0.000222875
85,35240.9,0.09818,0.48952,0.84897,0.77555,0.78322,0.80035,0.79998,0.07346,0.39624,0.75723,0.0002105,0.0002105,0.0002105
