epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.907,0.30211,2.20621,0.92665,0.36541,0.67376,0.49068,0.46701,0.28795,3.08923,0.88845,0.000409357,0.000409357,0.000409357
2,525.921,0.30917,1.46797,0.90753,0.49055,0.57853,0.56885,0.53931,0.32017,2.41924,0.90765,0.000809668,0.000809668,0.000809668
3,784.615,0.31472,1.31658,0.90185,0.6537,0.68864,0.56229,0.51886,0.359,2.11366,0.93637,0.00119348,0.00119348,0.00119348
4,1045.21,0.32388,1.23979,0.91704,0.69391,0.66503,0.60739,0.56797,0.33008,1.61827,0.91628,0.00117575,0.00117575,0.00117575
5,1307.34,0.29595,1.1125,0.89682,0.77517,0.66781,0.65765,0.63692,0.27611,1.26177,0.86793,0.001151,0.001151,0.001151
6,1568.02,0.27523,1.01025,0.89547,0.8055,0.63918,0.65135,0.63382,0.25307,1.16454,0.85773,0.00112625,0.00112625,0.00112625
7,1818.63,0.26208,0.95946,0.88229,0.49655,0.73814,0.6655,0.6597,0.20059,1.11761,0.81744,0.0011015,0.0011015,0.0011015
8,2076.2,0.25026,0.9527,0.88189,0.79026,0.66605,0.68493,0.67637,0.22124,0.97058,0.83347,0.00107675,0.00107675,0.00107675
9,2334.74,0.25135,0.92325,0.88567,0.37217,0.71924,0.59414,0.58211,0.23249,1.27725,0.842,0.001052,0.001052,0.001052
10,2593.29,0.24042,0.87953,0.88669,0.76415,0.70275,0.67479,0.66272,0.22134,0.90233,0.83832,0.00102725,0.00102725,0.00102725
11,2850.6,0.23525,0.83764,0.87967,0.49801,0.81345,0.65615,0.6477,0.18662,0.96024,0.81934,0.0010025,0.0010025,0.0010025
12,3106.7,0.23191,0.80539,0.87655,0.5446,0.7898,0.69366,0.68903,0.17395,0.84072,0.80194,0.00097775,0.00097775,0.00097775
13,3302.06,0.22215,0.75997,0.87146,0.55583,0.79638,0.75247,0.74939,0.15085,0.76279,0.80006,0.000953,0.000953,0.000953
14,3505.88,0.2183,0.76755,0.87378,0.5539,0.83051,0.7157,0.70917,0.19069,0.77527,0.81791,0.00092825,0.00092825,0.00092825
15,3763.69,0.2105,0.73151,0.87646,0.61932,0.7898,0.74081,0.73555,0.18077,0.7689,0.81055,0.0009035,0.0009035,0.0009035
16,4024.71,0.21221,0.75731,0.87315,0.54087,0.83674,0.72682,0.72299,0.17481,0.70404,0.8059,0.00087875,0.00087875,0.00087875
17,4282.34,0.21087,0.70014,0.86858,0.55278,0.7898,0.72934,0.72711,0.15289,0.68431,0.79085,0.000854,0.000854,0.000854
18,4540.7,0.19857,0.70934,0.87444,0.58284,0.86123,0.7421,0.74115,0.1435,0.7076,0.78933,0.00082925,0.00082925,0.00082925
19,4799.79,0.19462,0.69964,0.86794,0.53082,0.85434,0.71788,0.71377,0.16034,0.68879,0.80135,0.0008045,0.0008045,0.0008045
20,5057.45,0.19129,0.71882,0.86586,0.49426,0.83846,0.69192,0.68716,0.15974,0.8259,0.79944,0.00077975,0.00077975,0.00077975
21,5305.87,0.19375,0.66623,0.86922,0.57018,0.81813,0.6916,0.68372,0.15447,0.67781,0.79243,0.000755,0.000755,0.000755
22,5560.89,0.1884,0.67011,0.86983,0.60868,0.78901,0.78748,0.78528,0.13531,0.59222,0.78344,0.00073025,0.00073025,0.00073025
23,5817.25,0.18265,0.64328,0.85995,0.59432,0.87614,0.73997,0.73864,0.13646,0.64487,0.78531,0.0007055,0.0007055,0.0007055
24,6074.14,0.17849,0.6643,0.86895,0.61026,0.8657,0.73794,0.73654,0.12988,0.64974,0.78128,0.00068075,0.00068075,0.00068075
25,6280.32,0.17274,0.64811,0.86309,0.65792,0.8408,0.77831,0.77735,0.12772,0.58371,0.77864,0.000656,0.000656,0.000656
26,6468.21,0.16135,0.62197,0.86829,0.62404,0.87312,0.73512,0.73495,0.13494,0.59357,0.78975,0.00063125,0.00063125,0.00063125
27,6664.32,0.16776,0.60412,0.86394,0.58697,0.88628,0.72213,0.72044,0.12737,0.62118,0.77897,0.0006065,0.0006065,0.0006065
28,6902.64,0.1727,0.64203,0.86547,0.60217,0.91221,0.77188,0.77027,0.12447,0.5589,0.77641,0.00058175,0.00058175,0.00058175
29,7132.91,0.16071,0.61838,0.86076,0.65768,0.84775,0.75576,0.75279,0.12616,0.55861,0.77928,0.000557,0.000557,0.000557
30,7362.02,0.17088,0.60949,0.86328,0.61982,0.84308,0.74275,0.74235,0.11982,0.57055,0.77674,0.00053225,0.00053225,0.00053225
31,7594.46,0.1573,0.61462,0.86305,0.68903,0.75935,0.73173,0.73018,0.1174,0.55398,0.77508,0.0005075,0.0005075,0.0005075
32,7824.43,0.14904,0.58098,0.86041,0.63066,0.86828,0.75691,0.7546,0.11924,0.56955,0.77921,0.00048275,0.00048275,0.00048275
33,8056.14,0.15244,0.595,0.85824,0.65867,0.82798,0.74655,0.74548,0.10937,0.63193,0.77434,0.000458,0.000458,0.000458
34,8317.96,0.14797,0.59883,0.8615,0.62815,0.90383,0.7545,0.7545,0.12031,0.56464,0.77633,0.00043325,0.00043325,0.00043325
35,8580.05,0.15327,0.57256,0.85879,0.62488,0.86224,0.77885,0.77783,0.10352,0.54987,0.77122,0.0004085,0.0004085,0.0004085
36,8842.16,0.14603,0.56736,0.86208,0.73726,0.78951,0.80084,0.80084,0.10303,0.56777,0.7718,0.00038375,0.00038375,0.00038375
37,9101.29,0.13951,0.56685,0.86011,0.65187,0.83061,0.77429,0.77322,0.0954,0.53558,0.76847,0.000359,0.000359,0.000359
38,9360.33,0.13561,0.56037,0.85832,0.66856,0.7972,0.77423,0.77378,0.09176,0.53488,0.76755,0.00033425,0.00033425,0.00033425
39,9619.7,0.13599,0.5361,0.85341,0.70174,0.79797,0.74899,0.74847,0.09502,0.56748,0.76902,0.0003095,0.0003095,0.0003095
40,9879.19,0.13281,0.52474,0.85267,0.66039,0.77991,0.76224,0.76188,0.09572,0.52946,0.76916,0.00028475,0.00028475,0.00028475
