epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.924,0.27704,1.97389,0.91684,0.53521,0.66387,0.65069,0.6241,0.28205,1.99929,0.87707,0.000413165,0.000413165,0.000413165
2,823.803,0.28688,1.32819,0.89605,0.42088,0.62779,0.54831,0.48041,0.44451,1.89681,0.9885,0.000813401,0.000813401,0.000813401
3,1228.61,0.28439,1.14494,0.89337,0.45548,0.74242,0.63034,0.59923,0.29244,1.4139,0.8907,0.00119714,0.00119714,0.00119714
4,1633.15,0.27063,1.05917,0.89166,0.49058,0.72495,0.6526,0.63383,0.28385,1.13257,0.8604,0.00117575,0.00117575,0.00117575
5,2040.96,0.25861,0.94709,0.88531,0.55604,0.79613,0.68474,0.67942,0.2106,0.78914,0.82047,0.001151,0.001151,0.001151
6,2536.64,0.2399,0.91785,0.88169,0.54458,0.79149,0.72148,0.71635,0.19863,0.72108,0.81829,0.00112625,0.00112625,0.00112625
7,3035.69,0.23261,0.83468,0.88039,0.56798,0.80682,0.73583,0.7291,0.21011,0.74369,0.83201,0.0011015,0.0011015,0.0011015
8,3526.48,0.2256,0.82888,0.87997,0.62996,0.80088,0.75818,0.75555,0.16963,0.73005,0.79921,0.00107675,0.00107675,0.00107675
9,4049.55,0.21614,0.81195,0.87093,0.56844,0.77236,0.74162,0.7356,0.17999,0.62901,0.81003,0.001052,0.001052,0.001052
10,4641.82,0.20744,0.77738,0.87891,0.69129,0.81888,0.78313,0.78099,0.17119,0.60238,0.80086,0.00102725,0.00102725,0.00102725
11,11633.4,0.20193,0.77352,0.86809,0.68312,0.80114,0.76728,0.76236,0.17213,0.61409,0.7984,0.0010025,0.0010025,0.0010025
12,12125,0.19644,0.76122,0.86871,0.65079,0.80097,0.7638,0.76061,0.16862,0.56157,0.796,0.00097775,0.00097775,0.00097775
13,12620.6,0.19238,0.74894,0.86596,0.62661,0.81232,0.73626,0.73256,0.15832,0.55876,0.79337,0.000953,0.000953,0.000953
14,13115.6,0.18385,0.7283,0.8669,0.63967,0.79148,0.74423,0.73932,0.15692,0.55694,0.79382,0.00092825,0.00092825,0.00092825
