epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.833,0.2893,2.58264,0.9275,0.78398,0.2393,0.35725,0.33955,0.30332,3.12595,0.92078,0.000359441,0.000359441,0.000359441
2,335.869,0.29457,1.81217,0.90205,0.62078,0.43257,0.46247,0.41902,0.39819,2.79909,0.95012,0.000715325,0.000715325,0.000715325
3,504.664,0.29018,1.67652,0.90303,0.64215,0.69248,0.55236,0.51689,0.33618,2.18637,0.89366,0.00105654,0.00105654,0.00105654
4,672.944,0.30118,1.48074,0.89794,0.57567,0.55315,0.44534,0.40503,0.31553,3.53366,0.89525,0.00104501,0.00104501,0.00104501
5,841.474,0.29142,1.35091,0.89966,0.78916,0.56186,0.63132,0.6063,0.29136,1.87663,0.87889,0.00102301,0.00102301,0.00102301
6,1010.46,0.27904,1.25518,0.885,0.78355,0.52958,0.65459,0.60282,0.36165,2.09957,0.9372,0.00100101,0.00100101,0.00100101
7,1178.52,0.26624,1.19742,0.87913,0.49105,0.76682,0.6851,0.66192,0.26126,1.40488,0.84387,0.000979013,0.000979013,0.000979013
8,1296.18,0.27842,1.1926,0.88901,0.39488,0.70951,0.50361,0.48903,0.23109,2.01311,0.83336,0.000957015,0.000957015,0.000957015
9,1412.41,0.24767,1.06865,0.87604,0.7756,0.58233,0.67581,0.66212,0.21941,1.37736,0.83226,0.000935018,0.000935018,0.000935018
10,1559.95,0.24373,1.06215,0.87601,0.50318,0.88591,0.70312,0.69458,0.19646,1.22388,0.82019,0.00091302,0.00091302,0.00091302
11,1736.44,0.22808,0.98125,0.87821,0.49591,0.83209,0.68063,0.65976,0.21873,1.1816,0.82862,0.000891022,0.000891022,0.000891022
12,1903.61,0.2301,1.02587,0.87187,0.48028,0.86418,0.65267,0.64184,0.18208,1.10092,0.80478,0.000869024,0.000869024,0.000869024
13,2069.51,0.23033,0.93798,0.87864,0.71892,0.66423,0.63503,0.62137,0.20233,1.16159,0.81728,0.000847026,0.000847026,0.000847026
14,2235.56,0.22817,0.90317,0.87262,0.6404,0.79314,0.79497,0.79338,0.16467,0.95405,0.78577,0.000825029,0.000825029,0.000825029
15,2411.87,0.22687,0.88124,0.87071,0.63371,0.94988,0.85341,0.85118,0.14326,0.85146,0.77872,0.000803031,0.000803031,0.000803031
16,2542.97,0.21519,0.88122,0.86706,0.75868,0.62854,0.68415,0.68184,0.18157,1.06779,0.809,0.000781033,0.000781033,0.000781033
17,2702.82,0.20716,0.85409,0.87521,0.7275,0.64996,0.62029,0.61905,0.17129,1.09891,0.79072,0.000759035,0.000759035,0.000759035
18,2872.87,0.2,0.84549,0.87085,0.57207,0.81945,0.70179,0.69441,0.1584,0.94923,0.7868,0.000737037,0.000737037,0.000737037
19,3042.27,0.21055,0.80038,0.86977,0.67049,0.8478,0.83013,0.82503,0.15073,0.90613,0.7884,0.00071504,0.00071504,0.00071504
20,3214.83,0.19732,0.8403,0.86698,0.6632,0.69655,0.77021,0.76335,0.15278,0.81996,0.78706,0.000693042,0.000693042,0.000693042
21,3379.64,0.19047,0.78832,0.87072,0.51715,0.84342,0.72713,0.72143,0.15123,0.81979,0.78297,0.000671044,0.000671044,0.000671044
22,3546.19,0.19403,0.74051,0.85415,0.87374,0.617,0.69705,0.69396,0.1506,0.83326,0.77472,0.000649046,0.000649046,0.000649046
23,3710.79,0.19467,0.7644,0.86624,0.56806,0.95549,0.79768,0.79128,0.14007,0.7744,0.77383,0.000627048,0.000627048,0.000627048
24,3872.96,0.18011,0.76796,0.86429,0.61464,0.89757,0.81002,0.8008,0.14688,0.76857,0.78445,0.000605051,0.000605051,0.000605051
25,4032.47,0.18557,0.73825,0.86687,0.57284,0.83003,0.77805,0.77592,0.12742,0.73366,0.77051,0.000583053,0.000583053,0.000583053
26,4197.84,0.17476,0.71366,0.86016,0.56682,0.76726,0.68404,0.67435,0.1455,0.81995,0.7856,0.000561055,0.000561055,0.000561055
27,4359.45,0.18628,0.71545,0.86971,0.53365,0.93062,0.73598,0.72818,0.11967,0.73024,0.7684,0.000539057,0.000539057,0.000539057
28,4502.6,0.17498,0.71469,0.86433,0.76697,0.90331,0.86303,0.86038,0.12188,0.65162,0.7662,0.000517059,0.000517059,0.000517059
29,4663.16,0.17204,0.66757,0.85858,0.72932,0.74757,0.78866,0.78837,0.11899,0.7118,0.76728,0.000495062,0.000495062,0.000495062
30,4823.36,0.17076,0.693,0.86725,0.77927,0.8028,0.85041,0.85041,0.12139,0.63915,0.76912,0.000473064,0.000473064,0.000473064
31,4988.25,0.16599,0.65769,0.85562,0.69734,0.90251,0.8197,0.8197,0.11346,0.61706,0.7668,0.000451066,0.000451066,0.000451066
32,5149.36,0.16406,0.64317,0.86801,0.63248,0.94519,0.80911,0.80903,0.10548,0.62502,0.75818,0.000429068,0.000429068,0.000429068
33,5312.44,0.15888,0.62974,0.85957,0.64556,0.94687,0.83138,0.82807,0.11654,0.6536,0.76384,0.00040707,0.00040707,0.00040707
34,5475.77,0.16093,0.63089,0.85465,0.72298,0.84439,0.80712,0.80712,0.10244,0.67102,0.75754,0.000385073,0.000385073,0.000385073
35,5615.65,0.15042,0.62671,0.85992,0.71156,0.87996,0.77862,0.77862,0.10744,0.62675,0.76162,0.000363075,0.000363075,0.000363075
36,5725.67,0.15191,0.61576,0.85206,0.76265,0.76251,0.77279,0.77279,0.10237,0.62594,0.75852,0.000341077,0.000341077,0.000341077
37,5835.48,0.15507,0.62434,0.86119,0.77695,0.81121,0.83266,0.8324,0.10107,0.67668,0.75632,0.000319079,0.000319079,0.000319079
38,5946.51,0.14437,0.59517,0.85482,0.65902,0.84643,0.77793,0.77793,0.09559,0.60203,0.75538,0.000297081,0.000297081,0.000297081
39,6056.92,0.14321,0.59454,0.85708,0.73789,0.88309,0.83492,0.83492,0.09244,0.59443,0.75463,0.000275084,0.000275084,0.000275084
40,6178.41,0.13579,0.5505,0.85035,0.61359,0.89867,0.80927,0.80927,0.09467,0.61159,0.75454,0.000253086,0.000253086,0.000253086
41,6307.92,0.11085,0.58292,0.80614,0.71518,0.86393,0.84138,0.84075,0.10201,0.62668,0.75929,0.000231088,0.000231088,0.000231088
42,6448.21,0.10729,0.54355,0.81653,0.82949,0.85936,0.8576,0.85755,0.09511,0.58847,0.75604,0.00020909,0.00020909,0.00020909
43,6587.01,0.10937,0.50652,0.79321,0.8364,0.85377,0.85793,0.85793,0.09798,0.58676,0.75839,0.000187092,0.000187092,0.000187092
