epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,2741.7,0.22215,0.75997,0.87146,0.55583,0.79638,0.75247,0.74939,0.15085,0.76279,0.80006,0.000953,0.000953,0.000953
14,2925.8,0.2183,0.76755,0.87378,0.5539,0.83051,0.7157,0.70917,0.19069,0.77527,0.81791,0.00092825,0.00092825,0.00092825
15,3109.5,0.2105,0.73151,0.87646,0.61932,0.7898,0.74081,0.73555,0.18077,0.7689,0.81055,0.0009035,0.0009035,0.0009035
16,3293.18,0.21221,0.75731,0.87315,0.54087,0.83674,0.72682,0.72299,0.17481,0.70404,0.8059,0.00087875,0.00087875,0.00087875
17,3510.96,0.21087,0.70014,0.86858,0.55278,0.7898,0.72934,0.72711,0.15289,0.68431,0.79085,0.000854,0.000854,0.000854
18,3743.51,0.19857,0.70934,0.87444,0.58284,0.86123,0.7421,0.74115,0.1435,0.7076,0.78933,0.00082925,0.00082925,0.00082925
19,3973.45,0.19462,0.69964,0.86794,0.53082,0.85434,0.71788,0.71377,0.16034,0.68879,0.80135,0.0008045,0.0008045,0.0008045
20,4196.16,0.19129,0.71882,0.86586,0.49426,0.83846,0.69192,0.68716,0.15974,0.8259,0.79944,0.00077975,0.00077975,0.00077975
21,4383.9,0.19375,0.66623,0.86922,0.57018,0.81813,0.6916,0.68372,0.15447,0.67781,0.79243,0.000755,0.000755,0.000755
22,4572.67,0.1884,0.67011,0.86983,0.60868,0.78901,0.78748,0.78528,0.13531,0.59222,0.78344,0.00073025,0.00073025,0.00073025
23,4758.4,0.18265,0.64328,0.85995,0.59432,0.87614,0.73997,0.73864,0.13646,0.64487,0.78531,0.0007055,0.0007055,0.0007055
24,4942.87,0.17849,0.6643,0.86895,0.61026,0.8657,0.73794,0.73654,0.12988,0.64974,0.78128,0.00068075,0.00068075,0.00068075
25,5126.35,0.17274,0.64811,0.86309,0.65792,0.8408,0.77831,0.77735,0.12772,0.58371,0.77864,0.000656,0.000656,0.000656
26,5310.08,0.16135,0.62197,0.86829,0.62404,0.87312,0.73512,0.73495,0.13494,0.59357,0.78975,0.00063125,0.00063125,0.00063125
27,5494.77,0.16776,0.60412,0.86394,0.58697,0.88628,0.72213,0.72044,0.12737,0.62118,0.77897,0.0006065,0.0006065,0.0006065
28,5679.87,0.1727,0.64203,0.86547,0.60217,0.91221,0.77188,0.77027,0.12447,0.5589,0.77641,0.00058175,0.00058175,0.00058175
29,5864.59,0.16071,0.61838,0.86076,0.65768,0.84775,0.75576,0.75279,0.12616,0.55861,0.77928,0.000557,0.000557,0.000557
30,6049.6,0.17088,0.60949,0.86328,0.61982,0.84308,0.74275,0.74235,0.11982,0.57055,0.77674,0.00053225,0.00053225,0.00053225
31,6233.27,0.1573,0.61462,0.86305,0.68903,0.75935,0.73173,0.73018,0.1174,0.55398,0.77508,0.0005075,0.0005075,0.0005075
32,6417.71,0.14904,0.58098,0.86041,0.63066,0.86828,0.75691,0.7546,0.11924,0.56955,0.77921,0.00048275,0.00048275,0.00048275
33,6603.8,0.15244,0.595,0.85824,0.65867,0.82798,0.74655,0.74548,0.10937,0.63193,0.77434,0.000458,0.000458,0.000458
34,6789.92,0.14797,0.59883,0.8615,0.62815,0.90383,0.7545,0.7545,0.12031,0.56464,0.77633,0.00043325,0.00043325,0.00043325
35,6975.81,0.15327,0.57256,0.85879,0.62488,0.86224,0.77885,0.77783,0.10352,0.54987,0.77122,0.0004085,0.0004085,0.0004085
36,7204.9,0.14603,0.56736,0.86208,0.73726,0.78951,0.80084,0.80084,0.10303,0.56777,0.7718,0.00038375,0.00038375,0.00038375
37,7435.51,0.13951,0.56685,0.86011,0.65187,0.83061,0.77429,0.77322,0.0954,0.53558,0.76847,0.000359,0.000359,0.000359
38,7668.89,0.13561,0.56037,0.85832,0.66856,0.7972,0.77423,0.77378,0.09176,0.53488,0.76755,0.00033425,0.00033425,0.00033425
39,7908.22,0.13599,0.5361,0.85341,0.70174,0.79797,0.74899,0.74847,0.09502,0.56748,0.76902,0.0003095,0.0003095,0.0003095
40,8176.17,0.13281,0.52474,0.85267,0.66039,0.77991,0.76224,0.76188,0.09572,0.52946,0.76916,0.00028475,0.00028475,0.00028475
41,8413.97,0.11355,0.49298,0.81089,0.7117,0.83198,0.76673,0.76673,0.10258,0.51229,0.77011,0.00026,0.00026,0.00026
42,8644.59,0.11408,0.46216,0.80589,0.66872,0.80499,0.77844,0.77671,0.1007,0.51918,0.76921,0.00023525,0.00023525,0.00023525
43,8875.29,0.1098,0.46906,0.79125,0.70335,0.80053,0.77001,0.76944,0.09129,0.53154,0.7663,0.0002105,0.0002105,0.0002105
44,9096.8,0.10521,0.46504,0.8017,0.7272,0.85867,0.79138,0.79069,0.09069,0.4975,0.76741,0.00018575,0.00018575,0.00018575
45,9339.34,0.10539,0.42494,0.80368,0.71759,0.81961,0.77309,0.7727,0.08961,0.49842,0.76666,0.000161,0.000161,0.000161
46,9586.22,0.1008,0.40495,0.80297,0.72497,0.87166,0.79024,0.78946,0.09488,0.49016,0.76917,0.00013625,0.00013625,0.00013625
47,9831.89,0.10077,0.39689,0.7948,0.72003,0.79577,0.78127,0.78066,0.08695,0.48388,0.76563,0.0001115,0.0001115,0.0001115
48,10046.1,0.09587,0.37953,0.79244,0.73203,0.79779,0.78346,0.78289,0.08497,0.47627,0.76525,8.675e-05,8.675e-05,8.675e-05
49,10232.1,0.09464,0.43867,0.78544,0.70065,0.84322,0.77703,0.77669,0.08004,0.51009,0.7642,6.2e-05,6.2e-05,6.2e-05
50,10425.3,0.08771,0.36931,0.79582,0.71555,0.83612,0.78893,0.78861,0.07429,0.48084,0.7629,3.725e-05,3.725e-05,3.725e-05
