epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.46,0.30211,2.20621,0.92665,0.36541,0.67376,0.49068,0.46701,0.28795,3.08923,0.88845,0.000409357,0.000409357,0.000409357
2,390.162,0.30917,1.46797,0.90753,0.49055,0.57853,0.56885,0.53931,0.32017,2.41924,0.90765,0.000809668,0.000809668,0.000809668
3,590.618,0.31472,1.31658,0.90185,0.6537,0.68864,0.56229,0.51886,0.359,2.11366,0.93637,0.00119348,0.00119348,0.00119348
4,825.52,0.32388,1.23979,0.91704,0.69391,0.66503,0.60739,0.56797,0.33008,1.61827,0.91628,0.00117575,0.00117575,0.00117575
5,1064.56,0.29595,1.1125,0.89682,0.77517,0.66781,0.65765,0.63692,0.27611,1.26177,0.86793,0.001151,0.001151,0.001151
6,1299.53,0.27523,1.01025,0.89547,0.8055,0.63918,0.65135,0.63382,0.25307,1.16454,0.85773,0.00112625,0.00112625,0.00112625
7,1535.03,0.26208,0.95946,0.88229,0.49655,0.73814,0.6655,0.6597,0.20059,1.11761,0.81744,0.0011015,0.0011015,0.0011015
8,1771.81,0.25026,0.9527,0.88189,0.79026,0.66605,0.68493,0.67637,0.22124,0.97058,0.83347,0.00107675,0.00107675,0.00107675
9,2007.42,0.25135,0.92325,0.88567,0.37217,0.71924,0.59414,0.58211,0.23249,1.27725,0.842,0.001052,0.001052,0.001052
10,2191.82,0.24042,0.87953,0.88669,0.76415,0.70275,0.67479,0.66272,0.22134,0.90233,0.83832,0.00102725,0.00102725,0.00102725
11,2375.44,0.23525,0.83764,0.87967,0.49801,0.81345,0.65615,0.6477,0.18662,0.96024,0.81934,0.0010025,0.0010025,0.0010025
12,2558.15,0.23191,0.80539,0.87655,0.5446,0.7898,0.69366,0.68903,0.17395,0.84072,0.80194,0.00097775,0.00097775,0.00097775
