epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6011,0.38809,3.15003,0.95303,0.01304,0.98077,0.32511,0.28957,0.29282,3.79925,0.89969,0.0003333,0.0003333,0.0003333
2,71.6024,0.36967,2.24751,0.91231,0.65992,0.40554,0.29008,0.26842,0.31824,3.40279,0.88822,0.000689701,0.000689701,0.000689701
3,106.871,0.39538,2.00937,0.92897,0.3853,0.56049,0.41369,0.37257,0.3939,2.98838,0.97105,0.00103144,0.00103144,0.00103144
4,142.115,0.39828,1.9381,0.91988,0.30893,0.73692,0.45967,0.41716,0.39976,2.83324,0.96532,0.00104501,0.00104501,0.00104501
5,177.365,0.3759,1.80108,0.9199,0.34805,0.86411,0.5671,0.48399,0.39733,2.99905,1.08667,0.00102301,0.00102301,0.00102301
6,212.203,0.34486,1.77851,0.90989,0.32156,0.83077,0.61684,0.56668,0.31559,2.75028,0.87929,0.00100101,0.00100101,0.00100101
7,247.128,0.3511,1.72532,0.90668,0.58523,0.81192,0.69045,0.65417,0.33662,2.36671,0.91927,0.000979013,0.000979013,0.000979013
8,281.736,0.32131,1.60189,0.88694,0.67112,0.59971,0.64376,0.59822,0.33203,3.20588,0.90789,0.000957015,0.000957015,0.000957015
9,319.849,0.31683,1.49066,0.89718,0.5683,0.72324,0.72906,0.698,0.28995,2.20342,0.86573,0.000935018,0.000935018,0.000935018
10,358.684,0.34929,1.50598,0.89911,0.64482,0.60192,0.68189,0.62139,0.35341,2.44508,0.91708,0.00091302,0.00091302,0.00091302
11,395.164,0.30495,1.39163,0.87985,0.50708,0.64364,0.59083,0.54108,0.3309,2.62729,0.90543,0.000891022,0.000891022,0.000891022
12,480.11,0.29628,1.37261,0.86848,0.3558,0.6281,0.53501,0.42919,0.46438,3.02018,1.01955,0.000869024,0.000869024,0.000869024
13,515.374,0.29901,1.28612,0.89337,0.52389,0.77355,0.56146,0.48746,0.41985,2.62957,0.9972,0.000847026,0.000847026,0.000847026
14,550.667,0.29127,1.32044,0.89063,0.50865,0.63843,0.6141,0.5356,0.41126,3.0006,1.01136,0.000825029,0.000825029,0.000825029
15,585.828,0.29221,1.25518,0.86695,0.56271,0.78535,0.71975,0.65115,0.30898,2.80271,0.92021,0.000803031,0.000803031,0.000803031
16,621.127,0.27412,1.24871,0.86574,0.81751,0.71194,0.83838,0.79069,0.28869,1.71614,0.87413,0.000781033,0.000781033,0.000781033
17,656.51,0.27965,1.11776,0.86901,0.61456,0.87248,0.83489,0.80752,0.27259,1.73711,0.8682,0.000759035,0.000759035,0.000759035
18,691.835,0.26265,1.11825,0.85047,0.61302,0.80475,0.72009,0.67547,0.2465,2.27301,0.82387,0.000737037,0.000737037,0.000737037
19,727.202,0.26891,1.11076,0.86709,0.5824,0.89098,0.77277,0.75447,0.25966,2.11254,0.82369,0.00071504,0.00071504,0.00071504
20,762.486,0.2782,1.11049,0.86674,0.73214,0.87395,0.86419,0.85507,0.20876,1.66309,0.81099,0.000693042,0.000693042,0.000693042
21,843.406,0.24928,1.033,0.85934,0.78321,0.62155,0.76651,0.75235,0.22927,2.19839,0.82596,0.000671044,0.000671044,0.000671044
22,878.863,0.26113,1.08381,0.8713,0.66147,0.89123,0.79199,0.77238,0.25084,1.84626,0.85011,0.000649046,0.000649046,0.000649046
23,914.433,0.26162,1.01031,0.86251,0.69187,0.7517,0.76674,0.7484,0.22879,1.6707,0.82878,0.000627048,0.000627048,0.000627048
24,950.084,0.23626,0.99834,0.86243,0.6357,0.82117,0.81389,0.81389,0.22528,1.48117,0.81273,0.000605051,0.000605051,0.000605051
25,985.744,0.24542,0.99692,0.87485,0.68726,0.8822,0.82195,0.80618,0.21473,1.45466,0.80746,0.000583053,0.000583053,0.000583053
26,1021.6,0.21902,1.04903,0.87058,0.62026,0.88682,0.81293,0.80464,0.17256,1.69426,0.79595,0.000561055,0.000561055,0.000561055
27,1057.33,0.22973,0.9723,0.85994,0.64908,0.78997,0.80197,0.79376,0.18852,1.74334,0.80033,0.000539057,0.000539057,0.000539057
28,1093.23,0.22944,1.0102,0.86591,0.79503,0.78167,0.82351,0.82107,0.18888,1.52691,0.79358,0.000517059,0.000517059,0.000517059
29,1128.98,0.20398,0.94126,0.85258,0.86515,0.8567,0.86225,0.85548,0.17574,1.22569,0.79087,0.000495062,0.000495062,0.000495062
30,1513.1,0.2129,0.87989,0.85574,0.85562,0.86026,0.87195,0.86118,0.18116,1.17339,0.78875,0.000473064,0.000473064,0.000473064
31,1548.69,0.22258,0.93287,0.85753,0.75141,0.88462,0.89429,0.88788,0.18616,1.16587,0.78913,0.000451066,0.000451066,0.000451066
32,1583.58,0.22977,0.89834,0.85227,0.83689,0.83352,0.87535,0.8614,0.18148,1.20679,0.78238,0.000429068,0.000429068,0.000429068
33,1618.24,0.19341,0.86049,0.84653,0.78782,0.86252,0.84914,0.83864,0.15371,1.25961,0.77789,0.00040707,0.00040707,0.00040707
34,1653.08,0.19289,0.83933,0.85,0.86278,0.86189,0.82928,0.82344,0.15642,1.27659,0.78439,0.000385073,0.000385073,0.000385073
35,1687.91,0.21547,0.86255,0.851,0.74266,0.84829,0.82718,0.82135,0.14927,1.32341,0.78049,0.000363075,0.000363075,0.000363075
36,1722.49,0.19379,0.78499,0.85292,0.65771,0.83387,0.80904,0.80904,0.14162,1.55348,0.7778,0.000341077,0.000341077,0.000341077
37,1757.26,0.18703,0.79723,0.84742,0.67398,0.80877,0.82133,0.81704,0.14295,1.62294,0.77895,0.000319079,0.000319079,0.000319079
38,1792.09,0.18435,0.8007,0.84658,0.78267,0.82976,0.87955,0.87255,0.14664,1.10087,0.78433,0.000297081,0.000297081,0.000297081
39,1827.05,0.17337,0.75887,0.84954,0.88809,0.8417,0.87985,0.87185,0.14913,1.01812,0.78329,0.000275084,0.000275084,0.000275084
40,1861.85,0.17739,0.8429,0.83972,0.88407,0.83899,0.8997,0.8997,0.1461,1.00075,0.77562,0.000253086,0.000253086,0.000253086
41,2013.02,0.15165,1.00536,0.82779,0.77569,0.85034,0.88994,0.88994,0.16261,1.10729,0.78105,0.000231088,0.000231088,0.000231088
42,2048.15,0.14542,0.99443,0.80059,0.81214,0.84879,0.86367,0.86367,0.1401,1.32628,0.77907,0.00020909,0.00020909,0.00020909
43,2083.32,0.13036,0.93707,0.77956,0.7891,0.88117,0.87323,0.87323,0.12718,1.26059,0.77639,0.000187092,0.000187092,0.000187092
44,2117.75,0.14525,0.95465,0.81116,0.88262,0.86483,0.87248,0.87248,0.12982,1.14113,0.77562,0.000165095,0.000165095,0.000165095
45,2152.22,0.13288,0.90274,0.78371,0.86054,0.8719,0.87223,0.87223,0.13244,1.12827,0.7744,0.000143097,0.000143097,0.000143097
46,2186.69,0.125,0.86669,0.80864,0.86389,0.89671,0.89698,0.89698,0.11725,1.00941,0.76963,0.000121099,0.000121099,0.000121099
47,2220.98,0.12385,0.79889,0.78586,0.89204,0.88728,0.90403,0.90403,0.11381,0.97029,0.76854,9.91012e-05,9.91012e-05,9.91012e-05
48,2255.56,0.12015,0.78391,0.7896,0.86364,0.90559,0.90846,0.90846,0.11104,0.96749,0.76678,7.71034e-05,7.71034e-05,7.71034e-05
49,2290.09,0.10663,0.76874,0.78504,0.81816,0.89943,0.89869,0.89869,0.10935,0.99732,0.76622,5.51056e-05,5.51056e-05,5.51056e-05
50,2325.19,0.11331,0.8124,0.79956,0.80372,0.88379,0.89684,0.89684,0.10704,1.01997,0.76533,3.31078e-05,3.31078e-05,3.31078e-05
